# STATION: KATL,,
# STATION NAME: Atlanta, Hartsfield - Jackson Atlanta International Airport,
# LATITUDE: 33.64028,,
# LONGITUDE: -84.42694,,
# ELEVATION [ft]: 1027,,
# STATE: GA,,
Station_ID,Date_Time,cloud_layer_2_code_set_1
,,code
KATL,01/02/2017 23:52 EST,73
KATL,01/02/2017 23:55 EST,73
KATL,01/03/2017 00:00 EST,73
KATL,01/03/2017 00:05 EST,73
KATL,01/03/2017 00:10 EST,63
KATL,01/03/2017 00:15 EST,63
KATL,01/03/2017 00:20 EST,1003
KATL,01/03/2017 00:25 EST,1003
KATL,01/03/2017 00:27 EST,1004
KATL,01/03/2017 00:30 EST,
KATL,01/03/2017 00:35 EST,
KATL,01/03/2017 00:40 EST,
KATL,01/03/2017 00:45 EST,
KATL,01/03/2017 00:50 EST,
KATL,01/03/2017 00:52 EST,
KATL,01/03/2017 00:55 EST,
KATL,01/03/2017 01:00 EST,
KATL,01/03/2017 01:05 EST,
KATL,01/03/2017 01:10 EST,
KATL,01/03/2017 01:15 EST,
KATL,01/03/2017 01:20 EST,
KATL,01/03/2017 01:21 EST,
KATL,01/03/2017 01:25 EST,
KATL,01/03/2017 01:30 EST,
KATL,01/03/2017 01:35 EST,
KATL,01/03/2017 01:40 EST,
KATL,01/03/2017 01:45 EST,
KATL,01/03/2017 01:50 EST,
KATL,01/03/2017 01:52 EST,
KATL,01/03/2017 01:55 EST,
KATL,01/03/2017 02:00 EST,
KATL,01/03/2017 02:05 EST,
KATL,01/03/2017 02:10 EST,
KATL,01/03/2017 02:15 EST,
KATL,01/03/2017 02:20 EST,
KATL,01/03/2017 02:25 EST,
KATL,01/03/2017 02:30 EST,
KATL,01/03/2017 02:35 EST,
KATL,01/03/2017 02:40 EST,
KATL,01/03/2017 02:45 EST,334
KATL,01/03/2017 02:50 EST,333
KATL,01/03/2017 02:52 EST,313
KATL,01/03/2017 02:55 EST,313
KATL,01/03/2017 03:00 EST,313
KATL,01/03/2017 03:05 EST,313
KATL,01/03/2017 03:10 EST,313
KATL,01/03/2017 03:15 EST,333
KATL,01/03/2017 03:20 EST,333
KATL,01/03/2017 03:25 EST,
KATL,01/03/2017 03:30 EST,
KATL,01/03/2017 03:35 EST,
KATL,01/03/2017 03:40 EST,376
KATL,01/03/2017 03:45 EST,
KATL,01/03/2017 03:50 EST,226
KATL,01/03/2017 03:52 EST,226
KATL,01/03/2017 03:55 EST,
KATL,01/03/2017 04:00 EST,
KATL,01/03/2017 04:05 EST,
KATL,01/03/2017 04:10 EST,
KATL,01/03/2017 04:15 EST,273
KATL,01/03/2017 04:20 EST,273
KATL,01/03/2017 04:25 EST,273
KATL,01/03/2017 04:30 EST,273
KATL,01/03/2017 04:35 EST,213
KATL,01/03/2017 04:40 EST,213
KATL,01/03/2017 04:45 EST,213
KATL,01/03/2017 04:49 EST,213
KATL,01/03/2017 04:50 EST,213
KATL,01/03/2017 04:52 EST,213
KATL,01/03/2017 04:55 EST,213
KATL,01/03/2017 05:00 EST,213
KATL,01/03/2017 05:05 EST,133
KATL,01/03/2017 05:06 EST,133
KATL,01/03/2017 05:10 EST,133
KATL,01/03/2017 05:15 EST,133
KATL,01/03/2017 05:20 EST,133
KATL,01/03/2017 05:25 EST,133
KATL,01/03/2017 05:30 EST,174
KATL,01/03/2017 05:35 EST,203
KATL,01/03/2017 05:40 EST,123
KATL,01/03/2017 05:45 EST,123
KATL,01/03/2017 05:50 EST,
KATL,01/03/2017 05:52 EST,123
KATL,01/03/2017 05:55 EST,183
KATL,01/03/2017 06:00 EST,183
KATL,01/03/2017 06:05 EST,
KATL,01/03/2017 06:10 EST,
KATL,01/03/2017 06:15 EST,
KATL,01/03/2017 06:20 EST,
KATL,01/03/2017 06:25 EST,
KATL,01/03/2017 06:30 EST,
KATL,01/03/2017 06:35 EST,
KATL,01/03/2017 06:40 EST,
KATL,01/03/2017 06:45 EST,123
KATL,01/03/2017 06:50 EST,123
KATL,01/03/2017 06:52 EST,123
KATL,01/03/2017 06:55 EST,
KATL,01/03/2017 07:00 EST,
KATL,01/03/2017 07:05 EST,
KATL,01/03/2017 07:10 EST,
KATL,01/03/2017 07:15 EST,
KATL,01/03/2017 07:20 EST,154
KATL,01/03/2017 07:25 EST,
KATL,01/03/2017 07:30 EST,153
KATL,01/03/2017 07:35 EST,153
KATL,01/03/2017 07:40 EST,
KATL,01/03/2017 07:45 EST,
KATL,01/03/2017 07:49 EST,2502
KATL,01/03/2017 07:50 EST,
KATL,01/03/2017 07:52 EST,2502
KATL,01/03/2017 07:55 EST,
KATL,01/03/2017 08:00 EST,
KATL,01/03/2017 08:05 EST,
KATL,01/03/2017 08:08 EST,133
KATL,01/03/2017 08:10 EST,133
KATL,01/03/2017 08:15 EST,133
KATL,01/03/2017 08:20 EST,133
KATL,01/03/2017 08:25 EST,182
KATL,01/03/2017 08:30 EST,182
KATL,01/03/2017 08:35 EST,182
KATL,01/03/2017 08:40 EST,182
KATL,01/03/2017 08:45 EST,182
KATL,01/03/2017 08:50 EST,182
KATL,01/03/2017 08:52 EST,203
KATL,01/03/2017 08:55 EST,
KATL,01/03/2017 09:00 EST,
KATL,01/03/2017 09:05 EST,
KATL,01/03/2017 09:10 EST,
KATL,01/03/2017 09:15 EST,202
KATL,01/03/2017 09:20 EST,202
KATL,01/03/2017 09:25 EST,202
KATL,01/03/2017 09:30 EST,202
KATL,01/03/2017 09:35 EST,202
KATL,01/03/2017 09:40 EST,202
KATL,01/03/2017 09:45 EST,202
KATL,01/03/2017 09:50 EST,303
KATL,01/03/2017 09:52 EST,303
KATL,01/03/2017 09:55 EST,303
KATL,01/03/2017 10:00 EST,303
KATL,01/03/2017 10:05 EST,303
KATL,01/03/2017 10:10 EST,
KATL,01/03/2017 10:15 EST,303
KATL,01/03/2017 10:20 EST,303
KATL,01/03/2017 10:25 EST,303
KATL,01/03/2017 10:30 EST,303
KATL,01/03/2017 10:35 EST,303
